"size","depth","timeTakenToSort","MaxDepthInTheory","isPerfectSorted"
50000,0,3.3340819,15,false
50000,1,0.9679937000000001,15,false
50000,2,0.49266420000000005,15,false
50000,3,0.2630676,15,false
50000,4,0.1561669,15,false
50000,5,0.0871905,15,false
50000,6,0.054154,15,false
50000,7,0.030598,15,false
50000,8,0.019301000000000002,15,false
50000,9,0.012825600000000001,15,false
50000,10,0.010913800000000001,15,false
50000,11,0.0073124,15,false
50000,12,0.0078012,15,false
50000,13,0.006060500000000001,15,false
50000,14,0.0062849,15,true
50000,15,0.005817500000000001,15,true
50000,16,0.006364300000000001,15,true
50000,17,0.005775300000000001,15,false
50000,18,0.0055602,15,false
50000,19,0.0061395,15,false
50000,20,0.0055929000000000005,15,false
50000,21,0.0055066,15,false
50000,22,0.005476600000000001,15,false
50000,23,0.0054516,15,false
50000,24,0.0055834000000000005,15,false
50000,25,0.0054229000000000005,15,false
50000,26,0.0056349,15,false
50000,27,0.0054505000000000005,15,false
50000,28,0.005764900000000001,15,false
50000,29,0.0054431,15,false
50000,30,0.005613,15,false
50000,31,0.0054981000000000006,15,false
50000,32,0.0055626,15,false
50000,33,0.005525,15,false
50000,34,0.005470900000000001,15,false
50000,35,0.0055891000000000005,15,false
50000,36,0.0055938,15,false
50000,37,0.0054985,15,false
50000,38,0.0054885,15,false
50000,39,0.0055522,15,false
50000,40,0.0055087,15,false
50000,41,0.0054352,15,false
50000,42,0.0054824,15,false
50000,43,0.0054575000000000005,15,false
50000,44,0.005536200000000001,15,false
50000,45,0.0052763,15,false
50000,46,0.0052979,15,false
50000,47,0.0052731,15,false
50000,48,0.005451200000000001,15,false
50000,49,0.0062446,15,false
50000,50,0.005759500000000001,15,false
50000,51,0.0065859000000000004,15,false
50000,52,0.005733500000000001,15,false
50000,53,0.0062510000000000005,15,false
50000,54,0.006622500000000001,15,false
50000,55,0.0070397,15,false
50000,56,0.005525400000000001,15,false
50000,57,0.0056552,15,false
50000,58,0.005301200000000001,15,false
50000,59,0.0055456,15,false
"-------------------------------------------------------"
60000,0,2.6787158,15,false
60000,1,1.5437922000000002,15,false
60000,2,0.8641704,15,false
60000,3,0.4756804,15,false
60000,4,0.28135920000000003,15,false
60000,5,0.164161,15,false
60000,6,0.08749950000000001,15,false
60000,7,0.050356200000000004,15,false
60000,8,0.030188600000000003,15,false
60000,9,0.020611400000000002,15,false
60000,10,0.013381200000000001,15,false
60000,11,0.0101487,15,false
60000,12,0.0082687,15,false
60000,13,0.0072709,15,false
60000,14,0.007019600000000001,15,false
60000,15,0.0076122,15,true
60000,16,0.0073046000000000005,15,true
60000,17,0.0081186,15,true
60000,18,0.006861900000000001,15,true
60000,19,0.0067822,15,false
60000,20,0.0066743,15,false
60000,21,0.006754700000000001,15,false
60000,22,0.006675400000000001,15,false
60000,23,0.0066901,15,false
60000,24,0.00668,15,false
60000,25,0.0067955,15,false
60000,26,0.006658000000000001,15,false
60000,27,0.0066760000000000005,15,false
60000,28,0.006608200000000001,15,false
60000,29,0.0066813,15,false
60000,30,0.0066638,15,false
60000,31,0.0070118,15,false
60000,32,0.0081759,15,false
60000,33,0.0070578,15,false
60000,34,0.007476600000000001,15,false
60000,35,0.0090097,15,false
60000,36,0.0082355,15,false
60000,37,0.0066617,15,false
60000,38,0.007192700000000001,15,false
60000,39,0.0073597,15,false
60000,40,0.0066701,15,false
60000,41,0.007112500000000001,15,false
60000,42,0.006643400000000001,15,false
60000,43,0.0068104,15,false
60000,44,0.006651000000000001,15,false
60000,45,0.0065951000000000004,15,false
60000,46,0.0068127000000000005,15,false
60000,47,0.0066936,15,false
60000,48,0.0065995,15,false
60000,49,0.0065827,15,false
60000,50,0.0069034000000000005,15,false
60000,51,0.006618400000000001,15,false
60000,52,0.006675,15,false
60000,53,0.0069068,15,false
60000,54,0.006658300000000001,15,false
60000,55,0.006628,15,false
60000,56,0.006594200000000001,15,false
60000,57,0.0065932000000000004,15,false
60000,58,0.0066013,15,false
60000,59,0.0066153,15,false
"-------------------------------------------------------"
70000,0,4.8350862,16,false
70000,1,2.1530223,16,false
70000,2,0.9916327,16,false
70000,3,0.652394,16,false
70000,4,0.3204249,16,false
70000,5,0.20807240000000002,16,false
70000,6,0.1254414,16,false
70000,7,0.06869850000000001,16,false
70000,8,0.0398675,16,false
70000,9,0.0267528,16,false
70000,10,0.0159531,16,false
70000,11,0.013531000000000001,16,false
70000,12,0.010608900000000001,16,false
70000,13,0.0092003,16,false
70000,14,0.0087424,16,true
70000,15,0.0105965,16,true
70000,16,0.0085687,16,true
70000,17,0.011358100000000001,16,true
70000,18,0.0094722,16,true
70000,19,0.011814000000000002,16,false
70000,20,0.010386300000000001,16,false
70000,21,0.014180900000000001,16,false
70000,22,0.0134348,16,false
70000,23,0.010543,16,false
70000,24,0.0094722,16,false
70000,25,0.0114915,16,false
70000,26,0.009111600000000001,16,false
70000,27,0.0091549,16,false
70000,28,0.0084661,16,false
70000,29,0.0083917,16,false
70000,30,0.0091006,16,false
70000,31,0.0090506,16,false
70000,32,0.0083506,16,false
70000,33,0.0084379,16,false
70000,34,0.010908500000000002,16,false
70000,35,0.0121694,16,false
70000,36,0.011818200000000001,16,false
70000,37,0.012519500000000001,16,false
70000,38,0.010320600000000001,16,false
70000,39,0.0107922,16,false
70000,40,0.009544500000000001,16,false
70000,41,0.0095265,16,false
70000,42,0.0106754,16,false
70000,43,0.0083605,16,false
70000,44,0.0083064,16,false
70000,45,0.009656900000000001,16,false
70000,46,0.009668600000000001,16,false
70000,47,0.0090129,16,false
70000,48,0.0100849,16,false
70000,49,0.0082923,16,false
70000,50,0.008087500000000001,16,false
70000,51,0.0083035,16,false
70000,52,0.0085631,16,false
70000,53,0.0083145,16,false
70000,54,0.0083321,16,false
70000,55,0.0085284,16,false
70000,56,0.0081622,16,false
70000,57,0.0083718,16,false
70000,58,0.0081011,16,false
70000,59,0.0079659,16,false
70000,60,0.0079699,16,false
70000,61,0.0080595,16,false
70000,62,0.0080751,16,false
70000,63,0.0080923,16,false
"-------------------------------------------------------"
80000,0,5.582703100000001,16,false
80000,1,4.887066600000001,16,false
80000,2,2.4071168000000003,16,false
80000,3,1.3965839,16,false
80000,4,0.6047077000000001,16,false
80000,5,0.33934980000000003,16,false
80000,6,0.1675289,16,false
80000,7,0.1274683,16,false
80000,8,0.0646138,16,false
80000,9,0.0413243,16,true
80000,10,0.06449740000000001,16,true
80000,11,0.0367723,16,true
