"size","depth","timeTakenToSort","MaxDepthInTheory","isPerfectSorted"
500000,10,0.1605407,18,false
500000,11,0.14562550000000002,18,false
500000,12,0.11678970000000001,18,false
500000,13,0.10720690000000001,18,true
500000,14,0.0866392,18,true
500000,15,0.08441950000000001,18,true
500000,16,0.08477420000000001,18,true
500000,17,0.08543260000000001,18,false
500000,18,0.07926190000000001,18,false
500000,19,0.08209570000000001,18,true
500000,20,0.08251560000000001,18,true
500000,21,0.08634510000000001,18,false
500000,22,0.08655220000000001,18,false
500000,23,0.0869631,18,false
500000,24,0.08953240000000001,18,false
500000,25,0.09778110000000001,18,false
500000,26,0.0845849,18,false
500000,27,0.08791990000000001,18,false
500000,28,0.0909658,18,false
500000,29,0.0897677,18,false
500000,30,0.08531760000000001,18,false
500000,31,0.08815010000000001,18,false
500000,32,0.0868724,18,false
500000,33,0.0984579,18,false
500000,34,0.0865452,18,false
500000,35,0.08618,18,false
500000,36,0.0845712,18,false
500000,37,0.08838330000000001,18,false
500000,38,0.0856263,18,false
500000,39,0.08398960000000001,18,false
500000,40,0.0872532,18,false
500000,41,0.0861177,18,false
500000,42,0.0932377,18,false
500000,43,0.08772200000000001,18,false
500000,44,0.08275060000000001,18,false
500000,45,0.08660810000000001,18,false
500000,46,0.08557740000000001,18,false
500000,47,0.08816170000000001,18,false
500000,48,0.0846349,18,false
500000,49,0.0856052,18,false
500000,50,0.0853864,18,false
500000,51,0.0858082,18,false
500000,52,0.0817674,18,false
500000,53,0.08450980000000001,18,false
500000,54,0.08665010000000001,18,false
500000,55,0.084611,18,false
500000,56,0.08560390000000001,18,false
500000,57,0.0851269,18,false
500000,58,0.11222130000000001,18,false
500000,59,0.083092,18,false
500000,60,0.089661,18,false
500000,61,0.086954,18,false
500000,62,0.08417540000000001,18,false
500000,63,0.0842161,18,false
500000,64,0.08603480000000001,18,false
500000,65,0.087147,18,false
500000,66,0.0967871,18,false
500000,67,0.0843217,18,false
500000,68,0.08459280000000001,18,false
500000,69,0.08326220000000001,18,false
500000,70,0.082897,18,false
500000,71,0.0851086,18,false
"-------------------------------------------------------"
600000,10,0.151378,19,false
600000,11,0.1523301,19,false
600000,12,0.12770530000000002,19,false
600000,13,0.12297090000000001,19,false
600000,14,0.1239669,19,true
600000,15,0.1216614,19,true
600000,16,0.12013410000000001,19,true
600000,17,0.12407630000000001,19,true
600000,18,0.1158421,19,true
600000,19,0.11708610000000001,19,true
600000,20,0.11488720000000001,19,false
600000,21,0.1180182,19,false
600000,22,0.114347,19,false
600000,23,0.135609,19,false
600000,24,0.11185980000000001,19,false
600000,25,0.11164550000000001,19,false
600000,26,0.10966530000000001,19,false
600000,27,0.11864490000000001,19,false
600000,28,0.1111401,19,false
600000,29,0.1123035,19,false
600000,30,0.11328650000000001,19,false
600000,31,0.11363100000000001,19,false
600000,32,0.1094124,19,false
600000,33,0.1083598,19,false
600000,34,0.11069720000000001,19,false
600000,35,0.11105440000000001,19,false
600000,36,0.11812040000000001,19,false
600000,37,0.1049336,19,false
600000,38,0.10616840000000001,19,false
600000,39,0.1131526,19,false
600000,40,0.11169130000000001,19,false
600000,41,0.1211504,19,false
600000,42,0.1149358,19,false
600000,43,0.11510920000000001,19,false
600000,44,0.11344950000000001,19,false
600000,45,0.10879710000000001,19,false
600000,46,0.10895450000000001,19,false
600000,47,0.1091324,19,false
600000,48,0.11023780000000001,19,false
600000,49,0.10607180000000001,19,false
600000,50,0.11193570000000001,19,false
600000,51,0.1116951,19,false
600000,52,0.1082299,19,false
600000,53,0.11104030000000001,19,false
600000,54,0.10775180000000001,19,false
600000,55,0.1338328,19,false
600000,56,0.1101802,19,false
600000,57,0.1115237,19,false
600000,58,0.1094268,19,false
600000,59,0.11014550000000001,19,false
600000,60,0.1128635,19,false
600000,61,0.1117791,19,false
600000,62,0.1089663,19,false
600000,63,0.104093,19,false
600000,64,0.10881800000000001,19,false
600000,65,0.11071160000000001,19,false
600000,66,0.11913290000000001,19,false
600000,67,0.1162171,19,false
600000,68,0.139742,19,false
600000,69,0.1267,19,false
600000,70,0.1167142,19,false
600000,71,0.120352,19,false
600000,72,0.11007960000000001,19,false
600000,73,0.1085542,19,false
600000,74,0.11813340000000001,19,false
600000,75,0.10756840000000001,19,false
"-------------------------------------------------------"
700000,10,0.1729632,19,false
700000,11,0.1750303,19,false
700000,12,0.1692169,19,true
700000,13,0.16087010000000002,19,true
700000,14,0.15640900000000002,19,true
700000,15,0.1539858,19,true
700000,16,0.15306140000000001,19,false
700000,17,0.14991480000000001,19,false
700000,18,0.1477342,19,false
700000,19,0.14770260000000002,19,false
700000,20,0.1448528,19,false
700000,21,0.1894141,19,false
700000,22,0.2374071,19,false
700000,23,0.15603360000000002,19,false
700000,24,0.2871926,19,false
700000,25,0.1634939,19,false
700000,26,0.1640277,19,false
700000,27,0.2141046,19,false
700000,28,0.1484534,19,false
700000,29,0.1467398,19,false
700000,30,0.14600870000000002,19,false
700000,31,0.1516413,19,false
700000,32,0.1735883,19,false
700000,33,0.15679210000000002,19,false
700000,34,0.1665675,19,false
700000,35,0.20187360000000001,19,false
700000,36,0.2073616,19,false
700000,37,0.2048386,19,false
700000,38,0.1741705,19,false
700000,39,0.2699128,19,false
700000,40,0.2118057,19,false
700000,41,0.1541963,19,false
700000,42,0.15606520000000002,19,false
700000,43,0.2023105,19,false
700000,44,0.2173363,19,false
700000,45,0.15827680000000002,19,false
700000,46,0.17138740000000002,19,false
700000,47,0.22599640000000001,19,false
700000,48,0.24120680000000003,19,false
700000,49,0.16017130000000002,19,false
700000,50,0.1445403,19,false
700000,51,0.1435393,19,false
700000,52,0.143159,19,false
700000,53,0.1408877,19,false
700000,54,0.19579770000000002,19,false
700000,55,0.155137,19,false
700000,56,0.14347890000000002,19,false
700000,57,0.1729381,19,false
700000,58,0.1544038,19,false
700000,59,0.14699900000000002,19,false
700000,60,0.15591200000000002,19,false
700000,61,0.1433277,19,false
700000,62,0.1444598,19,false
700000,63,0.1428461,19,false
700000,64,0.14893420000000002,19,false
700000,65,0.1463828,19,false
700000,66,0.14671040000000002,19,false
700000,67,0.2305367,19,false
700000,68,0.2440756,19,false
700000,69,0.155874,19,false
700000,70,0.1469708,19,false
700000,71,0.1472662,19,false
700000,72,0.1763989,19,false
700000,73,0.1473258,19,false
700000,74,0.1508595,19,false
700000,75,0.14889370000000002,19,false
"-------------------------------------------------------"
800000,10,0.2180716,19,false
800000,11,0.19763730000000002,19,false
800000,12,0.18742330000000001,19,false
800000,13,0.1894497,19,false
800000,14,0.1787301,19,false
800000,15,0.1745847,19,false
800000,16,0.162219,19,false
800000,17,0.1659934,19,true
800000,18,0.158587,19,true
800000,19,0.30677950000000004,19,true
800000,20,0.2536138,19,false
800000,21,0.16993660000000002,19,false
800000,22,0.18192360000000002,19,false
800000,23,0.16190120000000002,19,false
800000,24,0.1605917,19,false
800000,25,0.22402670000000002,19,false
800000,26,0.2586502,19,false
800000,27,0.24526,19,false
800000,28,0.1834242,19,false
800000,29,0.2062074,19,false
800000,30,0.1825823,19,false
800000,31,0.1580698,19,false
800000,32,0.16604750000000001,19,false
800000,33,0.18087260000000002,19,false
800000,34,0.19076030000000002,19,false
800000,35,0.16122140000000001,19,false
800000,36,0.16160760000000002,19,false
800000,37,0.16976760000000002,19,false
800000,38,0.174038,19,false
800000,39,0.15859720000000002,19,false
800000,40,0.15620930000000002,19,false
800000,41,0.15776,19,false
800000,42,0.1790958,19,false
800000,43,0.17098270000000002,19,false
800000,44,0.16149370000000002,19,false
800000,45,0.160414,19,false
800000,46,0.15911720000000001,19,false
800000,47,0.1767439,19,false
800000,48,0.1838558,19,false
800000,49,0.1554605,19,false
800000,50,0.1569058,19,false
800000,51,0.18989850000000003,19,false
800000,52,0.2127669,19,false
800000,53,0.15690510000000002,19,false
800000,54,0.1661832,19,false
800000,55,0.155986,19,false
800000,56,0.1525551,19,false
800000,57,0.15275860000000002,19,false
800000,58,0.1559433,19,false
800000,59,0.1629356,19,false
800000,60,0.15613870000000002,19,false
800000,61,0.1517677,19,false
800000,62,0.1536479,19,false
800000,63,0.15479330000000002,19,false
800000,64,0.1537311,19,false
800000,65,0.1572878,19,false
800000,66,0.15339460000000002,19,false
800000,67,0.15449020000000002,19,false
800000,68,0.15241190000000002,19,false
800000,69,0.1506344,19,false
800000,70,0.15343710000000002,19,false
800000,71,0.15266500000000002,19,false
800000,72,0.1532657,19,false
800000,73,0.1529856,19,false
800000,74,0.15509320000000001,19,false
800000,75,0.1550639,19,false
"-------------------------------------------------------"
900000,10,0.259546,19,false
900000,11,0.3105753,19,true
900000,12,0.228797,19,true
900000,13,0.21188400000000002,19,true
900000,14,0.22044860000000002,19,true
900000,15,0.1914892,19,true
900000,16,0.1896167,19,false
900000,17,0.192639,19,false
900000,18,0.1834519,19,false
900000,19,0.17784090000000002,19,false
900000,20,0.19385190000000002,19,false
900000,21,0.19456020000000002,19,false
900000,22,0.19703980000000001,19,false
900000,23,0.26410690000000003,19,false
900000,24,0.17733190000000001,19,false
900000,25,0.1690228,19,false
900000,26,0.1692719,19,false
900000,27,0.1853197,19,false
900000,28,0.2188592,19,false
900000,29,0.213764,19,false
900000,30,0.40177490000000005,19,false
900000,31,0.19053240000000002,19,false
900000,32,0.1924789,19,false
900000,33,0.1936534,19,false
900000,34,0.1919076,19,false
900000,35,0.18740310000000002,19,false
900000,36,0.1936314,19,false
900000,37,0.2004766,19,false
900000,38,0.18936930000000002,19,false
900000,39,0.1915588,19,false
900000,40,0.2159386,19,false
900000,41,0.19503310000000001,19,false
900000,42,0.18926990000000002,19,false
900000,43,0.19204100000000002,19,false
900000,44,0.1966428,19,false
900000,45,0.1930811,19,false
900000,46,0.1913726,19,false
900000,47,0.19406530000000002,19,false
900000,48,0.1960898,19,false
900000,49,0.18841270000000002,19,false
900000,50,0.19229870000000002,19,false
900000,51,0.1938033,19,false
900000,52,0.1912629,19,false
900000,53,0.19559400000000002,19,false
900000,54,0.19165420000000002,19,false
900000,55,0.2003859,19,false
900000,56,0.1992516,19,false
900000,57,0.1926893,19,false
900000,58,0.1906022,19,false
900000,59,0.1939239,19,false
900000,60,0.19017440000000002,19,false
900000,61,0.1928477,19,false
900000,62,0.1929991,19,false
900000,63,0.1854877,19,false
900000,64,0.19097250000000002,19,false
900000,65,0.19274460000000002,19,false
900000,66,0.19295030000000002,19,false
900000,67,0.1915143,19,false
900000,68,0.1897365,19,false
900000,69,0.1864347,19,false
900000,70,0.19372650000000002,19,false
900000,71,0.19262900000000002,19,false
900000,72,0.1921063,19,false
900000,73,0.1927482,19,false
