"size","depth","timeTakenToSort","MaxDepthInTheory","isPerfectSorted"
500000,10,0.8780566000000001,18,false
500000,11,0.5675212000000001,18,false
500000,12,0.28613360000000004,18,false
500000,13,0.20408910000000002,18,false
500000,14,0.129195,18,false
500000,15,0.1063042,18,false
500000,16,0.09837670000000001,18,false
500000,17,0.09100280000000001,18,true
500000,18,0.0735435,18,true
500000,19,0.07261770000000001,18,true
500000,20,0.0724337,18,true
500000,21,0.07163220000000001,18,false
500000,22,0.07216660000000001,18,false
500000,23,0.07188320000000001,18,false
500000,24,0.0718998,18,false
500000,25,0.0720219,18,false
500000,26,0.07182730000000001,18,false
500000,27,0.071953,18,false
500000,28,0.0719065,18,false
500000,29,0.0725812,18,false
500000,30,0.0724019,18,false
500000,31,0.0716589,18,false
500000,32,0.0715394,18,false
500000,33,0.0719307,18,false
500000,34,0.0719367,18,false
500000,35,0.0718556,18,false
500000,36,0.07174180000000001,18,false
500000,37,0.07857460000000001,18,false
500000,38,0.0715243,18,false
500000,39,0.0715798,18,false
500000,40,0.07199910000000001,18,false
500000,41,0.0726645,18,false
500000,42,0.071692,18,false
500000,43,0.0716732,18,false
500000,44,0.07170760000000001,18,false
500000,45,0.0718501,18,false
500000,46,0.07173840000000001,18,false
500000,47,0.07191850000000001,18,false
500000,48,0.0721301,18,false
500000,49,0.07198170000000001,18,false
500000,50,0.0779529,18,false
500000,51,0.0722096,18,false
500000,52,0.0717719,18,false
500000,53,0.07167620000000001,18,false
500000,54,0.0716074,18,false
500000,55,0.0719289,18,false
500000,56,0.07198840000000001,18,false
500000,57,0.0720172,18,false
500000,58,0.07154060000000001,18,false
500000,59,0.0716716,18,false
500000,60,0.0794412,18,false
500000,61,0.0716196,18,false
500000,62,0.07203380000000001,18,false
500000,63,0.0718655,18,false
500000,64,0.0717555,18,false
500000,65,0.0723941,18,false
500000,66,0.072503,18,false
500000,67,0.072811,18,false
500000,68,0.0719574,18,false
500000,69,0.0726234,18,false
500000,70,0.08434040000000001,18,false
500000,71,0.0718352,18,false
"-------------------------------------------------------"
600000,10,1.3771392,19,false
600000,11,0.9067177000000001,19,false
600000,12,0.445591,19,false
600000,13,0.3338765,19,true
600000,14,0.19711800000000002,19,true
600000,15,0.16481300000000002,19,false
600000,16,0.11922650000000001,19,true
600000,17,0.1117524,19,false
600000,18,0.1062136,19,false
600000,19,0.0961911,19,false
600000,20,0.0921947,19,false
600000,21,0.0935895,19,false
600000,22,0.09240290000000001,19,false
600000,23,0.09355400000000001,19,false
600000,24,0.0927998,19,false
600000,25,0.09274560000000001,19,false
600000,26,0.09239720000000001,19,false
600000,27,0.0935841,19,false
600000,28,0.09275430000000001,19,false
600000,29,0.0942231,19,false
600000,30,0.09398490000000001,19,false
600000,31,0.0970511,19,false
600000,32,0.0951347,19,false
600000,33,0.09603020000000001,19,false
600000,34,0.0955994,19,false
600000,35,0.0966693,19,false
600000,36,0.0955146,19,false
600000,37,0.09847520000000001,19,false
600000,38,0.0948273,19,false
600000,39,0.0948264,19,false
600000,40,0.0950589,19,false
600000,41,0.0955421,19,false
600000,42,0.0977718,19,false
600000,43,0.09393570000000001,19,false
600000,44,0.1017044,19,false
600000,45,0.0927553,19,false
600000,46,0.1172913,19,false
600000,47,0.1207715,19,false
600000,48,0.11620770000000001,19,false
600000,49,0.0977707,19,false
600000,50,0.1106622,19,false
600000,51,0.09541440000000001,19,false
600000,52,0.09547810000000001,19,false
600000,53,0.0946366,19,false
600000,54,0.09395410000000001,19,false
600000,55,0.0937714,19,false
600000,56,0.0934109,19,false
600000,57,0.09383380000000001,19,false
600000,58,0.09259700000000001,19,false
600000,59,0.0936829,19,false
600000,60,0.09269250000000001,19,false
600000,61,0.092792,19,false
600000,62,0.0925995,19,false
600000,63,0.09776190000000001,19,false
600000,64,0.115108,19,false
600000,65,0.1191007,19,false
600000,66,0.11915780000000001,19,false
600000,67,0.111554,19,false
600000,68,0.12241890000000001,19,false
600000,69,0.11655910000000001,19,false
600000,70,0.1185207,19,false
600000,71,0.0975666,19,false
600000,72,0.09476430000000001,19,false
600000,73,0.09404670000000001,19,false
600000,74,0.09472530000000001,19,false
600000,75,0.0951988,19,false
"-------------------------------------------------------"
700000,10,2.5514513,19,false
700000,11,1.5814306,19,false
700000,12,0.8476908000000001,19,false
700000,13,0.5396125,19,true
700000,14,0.31149330000000003,19,true
700000,15,0.23602440000000002,19,true
700000,16,0.1676756,19,true
700000,17,0.15519080000000002,19,true
700000,18,0.13337680000000002,19,false
700000,19,0.1309624,19,true
700000,20,0.1251109,19,false
700000,21,0.1295471,19,false
700000,22,0.1307733,19,false
700000,23,0.1241281,19,false
700000,24,0.12404420000000001,19,false
700000,25,0.12390000000000001,19,false
700000,26,0.12974570000000002,19,false
700000,27,0.1485081,19,false
700000,28,0.14551830000000002,19,false
700000,29,0.12140490000000001,19,false
700000,30,0.1284544,19,false
700000,31,0.12429240000000001,19,false
700000,32,0.1259992,19,false
700000,33,0.12388590000000001,19,false
700000,34,0.12517440000000002,19,false
